Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,289356,Office,293447,1963,2,100,Whole Building,Not Available,Not Available,305.6,303.1,37.8,Not Available,614.2,Not Available,Not Available,38139374.2,11082770.5,6962.2,0,6962.2,762051,Not Available,Not Available,619.4,No
Manhattan,3693539,Hospital (General Medical & Surgical),3889181,1969,12,100,Whole Building,Whole Building,55,229.8,228.8,24.8,2.4,401.1,933073441,9330734.4,332365924,96261312.1,55870.4,51016.4,4854.1,3889181,Not Available,Not Available,404.3,No
Manhattan,152765,Hospital (General Medical & Surgical),231342,1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,231342,Not Available,Not Available,Not Available,No
Manhattan,891040,Hospital (General Medical & Surgical),1305748,1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,1305748,Not Available,Not Available,Not Available,No
Manhattan,211400,Hospital (General Medical & Surgical),179694,1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,179694,Not Available,Not Available,Not Available,No
Manhattan,2230742,Hospital (General Medical & Surgical),2971874,1932,12,100,Whole Building,Whole Building,55,359.9,359,8.3,4.8,411.5,1432250877,14322508.8,86335350.5,24550859.4,54429.8,77564.1,-23134.3,2971874,Not Available,Not Available,414.2,No
Manhattan,245000,Other,245000,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,245000,Not Available,Not Available,Not Available,Yes
Queens,3750565,Multifamily Housing,2400000,1974,4,100,Whole Building,Combination of common and tenant areas,Not Available,143974.4,143976,Not Available,1439.7,151174.5,3.94E+11,3942852422,Not Available,Not Available,20943400,20943400,0,2738875,107151.5,39.13,151172.9,Yes
Queens,3750565,Other,200,1974,1,100,Whole Building,Not Available,Not Available,1138.3,1091.5,319.9,Not Available,3427.3,Not Available,Not Available,227658.1,63979.9,21.1,0,21.1,200,19261.1,96305.69,3574.2,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,
,,Multifamily Housing,412503,1903,2,100,Whole Building,Whole Building,93,32,Not Available,7.5,0,Not Available,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,Yes
Brooklyn,212656,Multifamily Housing,162656,1903,1,100,Whole Building,Not Available,1,295.4,316.8,5.8,3,374.2,47522901.2,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,Not Available,Not Available,352.2,
,,Hospital (General Medical & Surgical),567517,1950,2,100,Whole Building,Whole Building,80,352.7,Not Available,32.2,2.2,Not Available,128486713.1,1255514.1,62425429.2,18295844.6,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,No
Staten Island,567517,Hospital (General Medical & Surgical),567517,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,567517,Not Available,Not Available,Not Available,Yes
Staten Island,53917,Medical Office,58893,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,58893,Not Available,Not Available,Not Available,
,,College/University,323000,1907,7,100,Whole Building,Not Available,Not Available,120,125.2,8.7,0.9,193.6,52441239.4,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000,Not Available,Not Available,188.7,Yes
,,Multifamily Housing,321464,1939,2,100,Whole Building,Whole Building,72,76.2,79.9,3.5,0,106.2,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,Yes
Manhattan,179130,Multifamily Housing,204720,1939,1,100,Whole Building,Not Available,67,75.7,79,4,0,109.1,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,Not Available,Not Available,106.6,
Manhattan,102150,Multifamily Housing,116744,1939,1,100,Whole Building,Not Available,80,77.1,82.7,2.6,0,102.8,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,Not Available,Not Available,97.7,Yes
,,Multifamily Housing,189766,1911,2,100,Whole Building,Whole Building,100,68,Not Available,6.1,0.5,Not Available,8786386.9,98264.5,4013954.9,1156269.9,847.5,475,372.5,189766,Not Available,Not Available,115.6,Yes
Manhattan,151666,Multifamily Housing,130629,1911,1,100,Another configuration,Not Available,100,23.7,23.4,6.8,Not Available,73.3,Not Available,Not Available,3090622.7,894049,286.8,0,286.8,130629,Not Available,Not Available,74.3,
Manhattan,64827,Multifamily Housing,54913,1911,1,100,Another configuration,Not Available,100,17.9,17.4,4.8,0,52.3,59412.9,601,923332.2,262377.2,88.8,3.2,85.7,54913,231.9,4.22,53.9,Yes
,,Residence Hall/Dormitory,535632,1964,2,100,Whole Building,Whole Building,Not Available,115.9,118.8,0,1.2,124.7,61638997.2,631631.4,5527.4,1620,3308.4,3307.8,0.5,535632,8984.2,16.77,121.7,No
Manhattan,256528,College/University,256528,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,256528,Not Available,Not Available,0,Yes
Manhattan,339104,College/University,339104,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,339104,Not Available,Not Available,0,No
Manhattan,54725,College/University,199058.1,1971,2,100,Whole Building,Whole Building,Not Available,26.9,26.9,7.9,0,84.5,100,1,5357112.7,1570079.7,497.1,0,497.1,199058,1009.9,5.07,84.5,
Manhattan,61582,College/University,61582,1971,0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,61582,Not Available,Not Available,Not Available,
Bronx,750000,Multifamily Housing,855844,1962,6,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,641719,Not Available,Not Available,Not Available,
Manhattan,175885,Multifamily Housing,175885,1973,2,100,Whole Building,Whole Building,40,56.2,58.8,10.7,0.2,138.3,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562,175885,237.9,1.35,131,
Queens,167856,Multifamily Housing,152308,1952,4,100,Whole Building,Whole Building,67,49.5,50.7,7.4,0.3,105.7,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362,152308,Not Available,Not Available,105.5,
Queens,217584,Multifamily Housing,228570,1952,6,100,Whole Building,Whole Building,99,25.5,25.1,4.9,0.1,61.4,1919800,19198,3900932.9,1121175.7,464,102,362,228570,Not Available,Not Available,62.4,Yes
Queens,145056,Multifamily Housing,152380,1952,4,100,Whole Building,Whole Building,12,65.3,66.8,12.4,0.2,158.7,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,Not Available,Not Available,158.2,No
Queens,290112,Multifamily Housing,304760,1952,8,100,Whole Building,Whole Building,88,43.7,43.4,5.7,0.2,86.6,7268300.3,72683,6057016.5,1749805.6,948.1,386.1,562.1,304760,Not Available,Not Available,87.4,No
,,College/University,6386382,1897,56,100,Whole Building,Not Available,Not Available,175.9,175.9,16.2,1.2,300.4,770027489,7700274.9,353396020.5,103574436.6,73694.9,40899.9,32795,6385382,Not Available,Not Available,300.4,No
,,Office,83131,1996,1,100,Whole Building,Whole Building,100,0,0,0,0,0,0,0,0,0,0,0,0,83131,975.6,11.74,0,
,,Office,50000,1906,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,50000,Not Available,Not Available,Not Available,
,,Residence Hall/Dormitory,54138,1950,1,100,Whole Building,Not Available,100,0.5,0.5,Not Available,0,0.5,28000,280,Not Available,Not Available,1.5,1.5,0,54138,Not Available,Not Available,0.5,
,,Residence Hall/Dormitory,48608,1898,1,100,Whole Building,Not Available,99,16,16,4.5,0,49.1,27900,279,750367,219920,71.1,1.5,69.6,48608,Not Available,Not Available,49.1,
