"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"2","Manhattan",3693539,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",3889181,1969,12,100,"WholeBuilding",52,229.8,228.8,24.8,2.4,401.1,933073441,9330734.4,332365924,96261312.1,55870.4,51016.4,4854.1,3889181,NA,NA,404.3,"No","Others"
"6","Manhattan",2230742,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",2971874,1932,12,100,"WholeBuilding",52,359.9,359,8.3,4.8,411.5,1432250877,14322508.8,86335350.5,24550859.4,54429.8,77564.1,-23134.3,2971874,NA,NA,414.2,"No","Others"
"13","Brooklyn",NA,"Multifamily Housing","Multifamily Housing",412503,1903,2,100,"WholeBuilding",94,32,NA,7.5,0,NA,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,"Yes","MultiFamilyHousing"
"14","Brooklyn",212656,"Multifamily Housing","Multifamily Housing",162656,1903,1,100,"Other",1,295.4,316.8,5.8,3,374.2,47522901.2,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,NA,NA,352.2,"Yes","MultiFamilyHousing"
"15","Staten",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",567517,1950,2,100,"WholeBuilding",80,352.7,NA,32.2,2.2,NA,128486713.1,1255514.1,62425429.2,18295844.6,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,"No","Others"
"19","Manhattan",NA,"Multifamily Housing","Multifamily Housing",321464,1939,2,100,"WholeBuilding",71,76.2,79.9,3.5,0,106.2,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,"Yes","MultiFamilyHousing"
"20","Manhattan",179130,"Multifamily Housing","Multifamily Housing",204720,1939,1,100,"Other",65,75.7,79,4,0,109.1,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,NA,NA,106.6,"Yes","MultiFamilyHousing"
"21","Manhattan",102150,"Multifamily Housing","Multifamily Housing",116744,1939,1,100,"Other",80,77.1,82.7,2.6,0,102.8,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,NA,NA,97.7,"Yes","MultiFamilyHousing"
"22","Manhattan",NA,"Multifamily Housing","Multifamily Housing",189766,1911,2,100,"WholeBuilding",3,68,NA,6.1,0.5,NA,8786386.9,98264.5,4013954.9,1156269.9,847.5,475,372.5,189766,NA,NA,115.6,"Yes","MultiFamilyHousing"
"23","Manhattan",151666,"Multifamily Housing","Multifamily Housing",130629,1911,1,100,"Other",3,23.7,23.4,6.8,NA,73.3,NA,NA,3090622.7,894049,286.8,0,286.8,130629,NA,NA,74.3,"Yes","MultiFamilyHousing"
